episode,steps,reward,success,avg_loss
391,80,0.0000,0,-0.0245
392,80,0.0000,0,0.0732
393,80,0.0000,0,0.0006
394,80,0.0000,0,-0.0318
395,80,0.0000,0,-0.0185
396,80,0.0000,0,0.0255
397,80,0.0000,0,0.0044
398,80,0.0000,0,0.0089
399,80,0.0000,0,-0.0020
400,80,0.0000,0,0.0118
401,80,0.0000,0,-0.0302
402,80,0.0000,0,-0.0209
403,80,0.0000,0,-0.0111
404,80,0.0000,0,0.1154
405,80,0.0000,0,0.0666
406,80,0.0000,0,-0.0067
407,80,0.0000,0,0.0372
408,80,0.0000,0,-0.0257
409,80,0.0000,0,-0.0492
410,80,0.0000,0,-0.0270
411,80,0.0000,0,-0.0472
412,70,10.0000,1,0.5205
413,80,0.0000,0,0.0234
414,80,0.0000,0,-0.0040
415,80,0.0000,0,-0.0102
416,80,0.0000,0,-0.0331
417,80,0.0000,0,0.0024
418,80,0.0000,0,-0.0234
419,80,0.0000,0,-0.0219
420,80,0.0000,0,-0.0099
421,80,0.0000,0,0.0129
422,80,0.0000,0,0.0603
423,80,0.0000,0,-0.0099
424,80,0.0000,0,-0.0233
425,80,0.0000,0,-0.0240
426,80,0.0000,0,-0.0122
427,80,0.0000,0,-0.0070
428,80,0.0000,0,0.0132
429,80,0.0000,0,-0.0056
430,80,0.0000,0,-0.0199
431,80,0.0000,0,-0.0225
432,80,0.0000,0,-0.0142
433,80,0.0000,0,-0.0080
434,80,0.0000,0,-0.0045
435,80,0.0000,0,0.0040
436,80,0.0000,0,-0.0010
437,80,0.0000,0,-0.0136
438,80,0.0000,0,-0.0125
439,80,0.0000,0,-0.0124
440,80,0.0000,0,-0.0083
441,80,0.0000,0,-0.0058
442,80,0.0000,0,-0.0121
443,80,0.0000,0,0.0796
444,80,0.0000,0,-0.0192
445,80,0.0000,0,0.0256
446,80,0.0000,0,-0.0246
447,80,0.0000,0,-0.0255
448,80,0.0000,0,-0.0109
449,80,0.0000,0,-0.0080
450,80,0.0000,0,-0.0108
451,80,0.0000,0,-0.0109
452,80,0.0000,0,-0.0048
453,80,0.0000,0,-0.0106
454,80,0.0000,0,-0.0141
455,80,0.0000,0,-0.0029
456,80,0.0000,0,-0.0148
457,24,10.0000,1,0.4335
458,28,10.0000,1,0.4574
459,22,10.0000,1,0.3653
460,80,0.0000,0,0.0290
461,80,0.0000,0,0.0062
462,80,0.0000,0,-0.0742
463,80,0.0000,0,-0.0296
464,80,0.0000,0,0.0398
465,80,0.0000,0,-0.0462
466,42,10.0000,1,0.3554
467,80,0.0000,0,-0.0384
468,80,0.0000,0,-0.0943
469,44,10.0000,1,0.4366
470,80,0.0000,0,-0.0639
471,80,0.0000,0,-0.0670
472,80,0.0000,0,-0.0462
473,65,10.0000,1,0.4281
474,80,0.0000,0,-0.0358
475,70,10.0000,1,0.4175
476,80,0.0000,0,-0.0335
477,80,0.0000,0,-0.0686
478,80,0.0000,0,0.0047
479,80,0.0000,0,0.2561
480,80,0.0000,0,0.0824
481,80,0.0000,0,-0.0237
482,80,0.0000,0,-0.0934
483,80,0.0000,0,-0.0368
484,80,0.0000,0,-0.0801
485,80,0.0000,0,0.0152
486,80,0.0000,0,0.0698
487,59,10.0000,1,0.5253
488,35,10.0000,1,0.4673
489,59,10.0000,1,0.4290
490,80,0.0000,0,0.1373
491,52,10.0000,1,0.4249
492,63,10.0000,1,0.1316
493,18,10.0000,1,0.1721
494,34,10.0000,1,0.0010
495,39,10.0000,1,0.1467
496,37,10.0000,1,0.2202
497,80,0.0000,0,0.9812
498,22,10.0000,1,0.4551
499,80,0.0000,0,0.7411
500,80,0.0000,0,0.3664
501,80,0.0000,0,-0.0717
502,80,0.0000,0,-0.0346
503,80,0.0000,0,-0.0441
504,17,10.0000,1,-0.0302
505,19,10.0000,1,0.0210
506,26,10.0000,1,0.2287
507,80,0.0000,0,0.0822
508,25,10.0000,1,0.1958
509,80,0.0000,0,0.1321
510,80,0.0000,0,0.0242
511,54,10.0000,1,0.4603
512,80,0.0000,0,0.1331
513,12,10.0000,1,-0.0905
514,46,10.0000,1,0.2445
515,19,10.0000,1,0.0528
516,15,10.0000,1,-0.0512
517,80,0.0000,0,-0.1387
518,80,0.0000,0,-0.0700
519,80,0.0000,0,-0.0290
520,78,10.0000,1,0.6138
521,80,0.0000,0,0.0436
522,80,0.0000,0,0.0818
523,80,0.0000,0,0.0572
524,13,10.0000,1,0.0715
525,80,0.0000,0,-0.0078
526,80,0.0000,0,-0.0333
527,80,0.0000,0,-0.0261
528,80,0.0000,0,-0.0219
529,80,0.0000,0,-0.0309
530,80,0.0000,0,-0.0018
531,80,0.0000,0,0.0086
532,69,10.0000,1,0.4954
533,80,0.0000,0,-0.0319
534,80,0.0000,0,-0.0531
535,80,0.0000,0,-0.0820
536,80,0.0000,0,0.0228
537,80,0.0000,0,-0.0102
538,80,0.0000,0,-0.0220
539,80,0.0000,0,0.0118
